map_0039#49	時間軸の交錯を解いています……
map_0042#223	同時に、本当はどれだけ気にかけているかを隠すことで、他人を遠ざけ、望ましい機会を逃してしまう危険もある。
map_0042#224	かくとうタイプは、決意の手本だ。
map_0042#225	石を割るのは100回目の一撃ではなく、それより前の99回だと理解しており、目標に心を定めてやり抜くことにかけては誰にも劣らない。
map_0042#226	多くの人が夢見るしかないほどの、疲れ知らずの情熱で取り組み、かくとうタイプは、十分な時間と忍耐さえあれば、追い求めるものを必ず成し遂げる。
map_0042#227	どくタイプは、本当は望んでいない状況を、あきらめて受け入れてしまいがちだ。
map_0042#228	自分より他人を大切にし、自分自身をあまりにも簡単にあきらめてしまうこともある。
map_0042#229	それでも、自分が見つけられる中で最も素晴らしく、最も親しい友人になれるということに、彼ら自身気づいていないことが多い。
map_0042#230	自分の重要性に気づかないまま、周りの人々の人生で重要な役割を果たし、その一方でゆっくりと自分自身を築き上げていく。
map_0042#231	じめんタイプは、実利的で頑固だ。
map_0042#232	「正しい」とか「最善」といった従来の考え方に動じることなく、じめんタイプは人生や社会を外側から見つめる。
map_0042#233	結果がどうであれ自分の理想を貫くことを好むが、結果や効果にしっかり根ざしていることが多いため、それがうまくいく傾向にある。
map_0042#234	ひこうタイプは、自由な魂を持つ夢想家だ!
map_0042#235	常により大きく、より良く、よりワクワクするものを求め、「やるべき」ことに必ずしも縛られない。
map_0042#236	それが時にトラブルの原因になることもあるが、ひこうタイプにはいたずらの深刻な結果を、間一髪で回避する不思議な能力があると言う人もいる。
map_0042#237	しかも、何をしていても大いに楽しみ、最後に笑うのはいつも彼らだ。
map_0042#238	エスパータイプは、知的で分析的だ。
map_0042#239	創造性、思慮深さ、理解を大切にする。
map_0042#240	出来事や状況そのものよりも、その背後にあるパターンや理由をよく見抜くため、個人としても社会的にも力を発揮する。
map_0042#241	時に木を見て森を見ず、独自のやり方で並外れて個性的になることもあるが、それを気にすることはめったにないようだ。
map_0042#242	むしタイプは、知的で世捨て人気質だ。
map_0042#243	内向的な傾向があり、実際の人付き合いより、本やゲーム、インターネットを好む。
map_0042#244	その結果、多くの物事について驚くほど独自で洗練された視点を持つが、どう伝えればいいか自信が持てないことも多い。
map_0042#245	最も優れたむしタイプは、互いへの敬意と好奇心という心地よさの中で、情熱や興味を共有する同じ志を持つ人たちと、この世界に自分の居場所を築いていく。
map_0042#246	いわタイプは、揺るぎなく忠実な仲間だ。
map_0042#247	話を聞き、指示に従うのが得意で、いわタイプの尊敬と献身を勝ち取った者は、特に幸運だと言える。
map_0042#248	いわタイプは常に友を守り、忠実にコミュニティに尽くし、律儀に家族の面倒を見る。
map_0042#249	それでも、時には放っておいてほしいと思ったり、否定的な人たちから離れるのに苦労したりすることもある。
map_0042#250	しかし、忠誠という重荷は、背負うのが容易ではないとしても、社会や友情にとってかけがえのない、そしてしばしば見過ごされがちな礎なのだ。
map_0042#251	ゴーストタイプは威圧的で意地悪に見えるかもしれないが、結局のところ、ただユーモアのセンスを磨いているだけだ。
map_0042#252	時にダークなユーモアで、他人を犠牲にすることもあるが、本当に悪意があることはめったにない。
map_0042#253	むしろ、次々と繰り出す冗談やいたずらは、ゴーストタイプにとって剣であり盾でもあり、場を和ませ他人の好意を得る一方で、傷つきやすい本当の自分を詮索から守っている。
map_0042#254	ゴーストタイプの表面の下を本当に知ることは、それ自体が一つの試練だが、一度中に入れてもらえれば、そこには明るく人を惹きつける魂が見つかる。
map_0042#255	ドラゴンタイプは、「常識」やルール、期待に縛られない。
map_0042#256	行間を読む自由な思想家として、世界や周囲の人々に与えられる豊かなものを持っている。
map_0042#257	激しくこだわりが強いこともあるが、それは多くの人が理解できないことを、素早く英知として理解してしまうからに過ぎない。
map_0042#258	ドラゴンタイプは親しい友達を作るのに苦労することが多いが、いざ人に心を寄せる時は決して軽々しくなく、必ずお互いの人生を永遠に変えるほどの揺るぎない絆を築く。
map_0042#259	あくタイプは、最も控えめな性格だ。
map_0042#260	周囲の人とも自分自身とも対立しがちで、その結果、距離を置くことを好むことが多い。
map_0042#261	それでも、あくタイプには人それぞれ異なる、多くの隠れた強さがある。
map_0042#262	他の人にはできないことができたり、誰も持ち得ないような視点を持っていたりすることが多く、かけがえのない味方になり得る。
map_0042#263	それでも、人を心の奥深くまで入れることは、めったにない……
map_0042#264	はがねタイプは、めったなことでは動じない。
map_0042#265	揺るぎなく、安定していて、率直。自分が何を、どう望むのか分かっていて、どうにかしてそれを手に入れる。
map_0042#266	皮肉屋や虚無的になりがちなこともあるが、頼れる仲間や有能な同僚になることが多い。
map_0042#267	フェアリータイプは、楽観的で人を鼓舞する存在だ!
map_0042#268	コミュニティの中で、光と善の源であろうと努めることが多く、すぐに友達になれて、頼れるリーダーにもなる。
map_0042#269	その、なくてはならない気まぐれさと創造性は、日常の埃と憂鬱が積もり始めた空虚さを、しばしば埋めてくれる。
map_0042#270	しかし、その善良さゆえに、フェアリータイプは自分が与えるのと同じ敬意を他人にも期待し、それが返されないと、反動は深刻なものになりかねない……
map_0042#271	はい
map_0042#272	いいえ
map_0042#273	全スコア
map_0042#274	結果分析
map_0042#275	キャンセル
map_0043#0	ゴ、ゴニョニョ……
map_0043#1	ゴニョニョが、バッグの中のポケスナックに惹きつけられている!
map_0043#2	ゴニョ! ゴニョゴニョ、ゴニョニョ!
map_0043#3	空腹のポケモンが襲いかかってきた!
map_0043#4	ごきげんよう。わたしはこの土地の所有者です。
map_0043#5	この物件を貸す借り手を探しています。
map_0043#6	住まいを必要としている方を見かけたら、ぜひご紹介ください。
map_0043#7	ここ、いいところだな。見つけてくれてありがとよ!
map_0043#8	運び込む家具なんてないけどな、そのうち家に帰る方法も見つかるだろうさ。
map_0043#9	なあ、ここまで助けてくれて本当に感謝してるんだ。何か渡したいんだけど。ほら、受け取ってくれ。オレの相棒なんだが、お前にとってもきっといい奴だと思うぜ。
map_0043#10	ちゃんと大事にしてやってくれよ、いいな? お前自身もな!
map_0045#0	何か用か?
map_0045#1	あんたにやれるものなんて、バトルくらいしかないな。
